r,g,b
115,77,172
115,78,168
115,79,165
115,81,162
116,82,158
116,84,155
116,85,152
117,86,148
117,88,145
117,89,142
118,91,138
118,92,135
118,94,132
119,95,128
119,96,125
119,98,122
120,99,118
120,101,115
120,102,112
121,103,108
121,105,105
121,106,102
122,108,98
122,109,95
122,111,92
123,112,88
123,113,85
123,115,82
124,116,78
124,118,75
124,119,72
125,121,69
127,123,72
129,125,75
131,127,79
133,130,82
135,132,85
137,134,89
139,137,92
141,139,96
144,141,99
146,144,102
148,146,106
150,148,109
152,151,113
154,153,116
156,155,119
158,158,123
161,160,126
163,162,130
165,165,133
167,167,136
169,169,140
171,172,143
173,174,147
175,176,150
178,179,154
173,175,153
168,171,152
163,167,151
158,163,150
154,159,149
149,155,148
144,151,147
139,147,146
135,144,145
130,140,144
125,136,143
120,132,142
115,128,142
111,124,141
106,120,140
101,116,139
96,112,138
92,109,137
87,105,136
82,101,135
77,97,134
73,93,133
68,89,132
63,85,131
58,81,130
54,78,130
55,81,132
57,85,134
59,89,136
61,93,138
63,97,141
65,101,143
67,105,145
69,109,147
71,113,149
73,117,152
74,121,154
76,125,156
78,129,158
80,133,160
82,137,163
84,141,165
86,145,167
88,149,169
90,153,171
92,157,174
76,165,142
60,173,110
45,182,78
42,175,72
39,169,67
37,163,62
34,156,56
31,150,51
29,144,46
26,137,40
24,131,35
21,125,30
18,118,24
16,112,19
13,106,14
11,100,9
35,115,8
59,130,7
83,145,6
107,161,5
131,176,4
155,191,3
179,207,2
203,222,1
227,237,0
252,253,0
248,248,0
244,243,0
241,238,0
237,233,0
233,228,0
230,223,0
226,218,0
222,213,0
219,208,0
215,203,0
211,198,0
208,193,0
204,188,0
200,183,0
197,179,0
250,148,0
246,144,0
242,141,1
238,138,1
234,135,2
231,132,3
227,129,3
223,126,4
219,123,5
215,120,5
212,116,6
208,113,6
204,110,7
200,107,8
196,104,8
193,101,9
189,98,10
185,95,10
181,92,11
178,89,12
249,35,11
242,35,12
236,35,13
230,35,14
223,36,15
217,36,16
211,36,17
205,36,18
198,37,19
192,37,20
186,37,22
180,37,23
173,38,24
167,38,25
161,38,26
155,38,27
148,39,28
142,39,29
136,39,30
130,40,32
202,153,180
201,146,176
201,139,173
200,133,169
200,126,166
199,120,162
199,113,159
199,106,155
198,100,152
198,93,148
197,87,145
197,80,141
196,74,138
196,67,134
196,60,131
195,54,127
195,47,124
194,41,120
194,34,117
194,28,114
154,36,224
149,34,219
144,33,215
139,32,210
134,31,206
129,30,201
124,29,197
120,28,193
115,27,188
110,26,184
105,24,179
100,23,175
95,22,170
91,21,166
86,20,162
81,19,157
76,18,153
71,17,148
66,16,144
62,15,140
132,253,255
